sb_name,b_xelo_n,b_pppg_n,b_ppag_n,b_netrating_n,sos,current_hfa,league_current_ppg
Valparaiso,1539.9098,73.071678,71.682823,1.3888551,0.93613076,58.107723,148.89412
Murray St.,1537.1616,81.451202,80.053894,1.3973019,1.1104612,80.627625,148.89412
College of Charleston,1537.0077,74.586212,73.27887,1.3073438,-1.5074548,48.616516,148.89412
Merrimack,1536.4807,68.925751,67.706909,1.2188412,-3.3405669,56.652702,148.89412
UC San Diego,1535.025,70.241211,69.054962,1.1862532,-3.7145369,57.745846,148.89412
Penn St.,1533.3743,76.59613,75.393997,1.2021309,7.8305283,77.530937,148.89412
Rhode Island,1532.6681,69.496231,68.397675,1.0985572,1.4097626,41.863247,148.89412
Wright St.,1531.7289,76.360092,75.219406,1.1406828,-4.1885586,79.03994,148.89412
Idaho,1530.4246,73.772575,72.704918,1.0676556,-4.8400035,45.758282,148.89412
Arkansas St.,1530.4102,80.139496,79.007904,1.1315987,-4.3843098,69.699005,148.89412
Monmouth,1529.8383,73.420036,72.376396,1.043641,-1.9434371,50.910374,148.89412
Oregon St.,1525.2845,72.887802,72.007294,0.88050181,2.4213266,41.786999,148.89412
Winthrop,1522.0247,78.281448,77.474274,0.80716872,-5.1275735,60.718506,148.89412
Tennessee St.,1520.6895,77.541672,76.788361,0.75331873,-8.1278715,47.464939,148.89412
Temple,1519.8271,72.430679,71.742661,0.68802482,-0.76790231,49.551556,148.89412
Memphis,1517.4774,76.768356,76.136154,0.6322062,4.5035911,80.768349,148.89412
Georgia Tech,1516.7316,76.69873,76.093811,0.60491312,5.4576621,44.516407,148.89412
Central Arkansas,1513.7771,76.594208,76.096344,0.49786383,-5.0739965,65.583824,148.89412
Louisiana Tech,1513.345,68.613586,68.167389,0.44620466,-4.0045857,68.869301,148.89412
Siena,1513.0829,70.578323,70.13205,0.44626987,-4.2931261,62.226406,148.89412
Northern Colorado,1510.7789,77.448639,77.055862,0.392782,-5.4540782,41.628307,148.89412
East Tennessee St.,1507.8064,73.071991,72.798859,0.27313888,-5.6104798,59.861885,148.89412
Fresno St.,1507.0797,73.277206,73.028976,0.24823327,1.8052958,49.421673,148.89412
Furman,1504.0151,72.542366,72.402504,0.13985544,-5.2960129,63.002266,148.89412
Richmond,1499.6243,74.509277,74.522629,-0.013347623,0.19378324,44.522217,148.89412
Washington St.,1498.4923,76.632668,76.687309,-0.054640118,1.889141,55.121758,148.89412
UC Santa Barbara,1498.3523,73.465897,73.523865,-0.057965484,-3.5571473,44.986256,148.89412
Western Kentucky,1497.9988,77.222549,77.295471,-0.072928041,-1.7834393,58.640163,148.89412
Campbell,1497.9537,77.560295,77.635094,-0.074802957,-1.1450081,53.901577,148.89412
Drake,1497.6949,74.984421,75.066696,-0.082279585,1.0752766,54.465992,148.89412
William & Mary,1497.2358,79.918045,80.021271,-0.10321932,-2.8488665,70.460846,148.89412
Bowling Green,1495.2349,73.064598,73.231667,-0.1670704,-4.3801103,60.005516,148.89412
Samford,1494.1001,76.745316,76.959518,-0.21420248,-4.3881226,44.348076,148.89412
Montana St.,1492.0596,73.381615,73.661018,-0.27940255,-4.7353115,65.340279,148.89412
Middle Tennessee,1490.73,74.669525,74.999817,-0.33029458,-1.3684424,72.93325,148.89412
Queens,1481.2017,81.185272,81.896988,-0.71171337,-4.2260842,62.106174,148.89412
UT Arlington,1479.277,67.586792,68.276413,-0.68961364,-3.0890028,30.631701,148.89412
Mercer,1478.2838,77.139168,77.932564,-0.79339063,-5.0995412,47.052849,148.89412
Austin Peay,1477.5775,75.779556,76.588623,-0.80907035,-6.0001101,73.824799,148.89412
Howard,1477.5039,73.163383,73.955254,-0.79186618,-11.235382,48.043278,148.89412
Loyola Marymount,1477.0066,71.525421,72.322052,-0.79662824,-0.18533809,17.696569,148.89412
Columbia,1472.1013,73.097542,74.079857,-0.98231804,-2.9395113,35.991714,148.89412
Portland St.,1469.3376,70.791405,71.84742,-1.0560169,-5.1263089,65.690849,148.89412
Charlotte,1468.3832,72.778702,73.889206,-1.1105088,0.071918912,49.803646,148.89412
A&M-Corpus Christi,1468.1245,69.751175,70.837814,-1.0866401,-5.0701165,56.745239,148.89412
Cal State Northridge,1466.4054,79.739304,80.99823,-1.2589256,-3.1187813,43.875061,148.89412
South Alabama,1463.1583,72.004066,73.289528,-1.2854569,-5.2197809,45.226097,148.89412
New Mexico St.,1462.5513,72.980347,74.299576,-1.3192248,-2.9704635,57.812618,148.89412
Northern Kentucky,1461.6282,77.676201,79.088905,-1.4127045,-5.2386065,63.702435,148.89412
Appalachian St.,1461.619,67.893181,69.178413,-1.2852337,-5.4604335,77.45742,148.89412
Indiana St.,1461.4882,73.736473,75.103279,-1.3668085,0.41196677,73.782646,148.89412
James Madison,1458.0491,73.748703,75.238602,-1.4899035,-3.7058136,45.445156,148.89412
Jacksonville St.,1456.9806,70.157951,71.633324,-1.4753771,-3.9735479,38.795208,148.89412
UC Davis,1454.9211,73.258598,74.852943,-1.5943396,-3.3543,43.022938,148.89412
Oakland,1454.8555,78.763603,80.443932,-1.6803323,-1.1599211,38.226635,148.89412
FIU,1453.3196,76.93811,78.647552,-1.7094376,-2.7490222,30.892384,148.89412
Marist,1451.9795,66.882294,68.47612,-1.5938224,-4.973361,45.346592,148.89412
Eastern Washington,1450.0184,75.899239,77.713127,-1.8138827,-2.3559773,65.238327,148.89412
Western Carolina,1447.401,74.872887,76.764381,-1.8914909,-3.7075958,78.588448,148.89412
Missouri St.,1444.2504,72.744392,74.709953,-1.9655602,-2.9099782,68.710487,148.89412
UMass (Amherst),1443.0983,77.326439,79.421181,-2.0947373,-2.8195741,49.493294,148.89412
Cal State Fullerton,1440.0001,77.537132,79.75132,-2.2141821,-2.984045,42.416286,148.89412
Southern Miss,1436.6627,73.935295,76.196938,-2.2616484,-3.9234717,62.235077,148.89412
Tulane,1432.6807,72.566116,74.940186,-2.3740649,0.32468569,26.775398,148.89412
Rice,1432.5509,72.553291,74.931694,-2.378396,-1.5677478,9.3543673,148.89412
Detroit Mercy,1432.1252,73.452187,75.86657,-2.4143865,-3.6753256,73.938515,148.89412
Cal Poly,1429.5188,81.773903,84.479012,-2.7051096,-1.8699559,38.396927,148.89412
Georgia Southern,1429.2623,78.139236,80.768661,-2.6294284,-4.4615588,66.269005,148.89412
Quinnipiac,1429.2355,73.611816,76.134079,-2.5222652,-4.0674458,43.631477,148.89412
Utah Tech,1427.8701,75.786499,78.411209,-2.6247156,-3.0423951,61.637589,148.89412
Drexel,1425.8846,66.352119,68.809517,-2.4574039,-3.2308176,64.799011,148.89412
LIU,1424.1088,71.543213,74.196899,-2.6536913,-5.968039,67.680084,148.89412
San Jose St.,1422.5544,75.101357,77.904076,-2.8027241,2.500541,11.91308,148.89412
Lipscomb,1421.0286,73.216881,76.024971,-2.8080885,-5.6713595,54.239475,148.89412
Vermont,1417.0468,68.66069,71.482254,-2.821558,-7.0919256,62.16238,148.89412
Marshall,1416.1239,78.050148,81.17231,-3.122169,-4.6320853,90.53495,148.89412
Texas St.,1415.3453,71.278366,74.235245,-2.9568729,-5.2768383,53.975506,148.89412
Southeast Missouri St.,1411.4125,70.158142,73.220261,-3.0621216,-7.1659904,37.240196,148.89412
Loyola Chicago,1407.3969,69.618309,72.804161,-3.1858501,2.4627142,47.310207,148.89412
Fairfield,1407.0396,71.141106,74.388344,-3.2472315,-5.7750101,31.781116,148.89412
Youngstown St.,1403.5024,71.222656,74.598206,-3.3755498,-5.6027045,45.385468,148.89412
Green Bay,1402.694,71.01535,74.412704,-3.3973589,-3.8331046,62.06229,148.89412
New Orleans,1401.6776,74.835724,78.39772,-3.5619936,-1.2900711,49.327831,148.89412
Montana,1393.4059,72.99678,76.796982,-3.8002,-3.8817029,76.843651,148.89412
Saint Peter's,1392.3781,67.96463,71.614868,-3.6502419,-5.2785902,42.673061,148.89412
Buffalo,1392.1975,73.944412,77.82341,-3.8789961,-3.8234372,42.510788,148.89412
